************************************************************************************************************************
Sample 10 - Plan 1: Query: in which three consecutive years was the record the same?
Sample 10 - Plan 1: Groundtruth: ['2004', '2005', '2006']
Sample 10 - Plan 1: X-Original table pd: 
    season                   team  record      head_coach       quarterback  \
0     1970         dallas cowboys    10–4     tom landry*      craig morton   
1     1971        dallas cowboys†    11–3     tom landry*   roger staubach*   
2     1972    washington redskins    11–3   george allen*      billy kilmer   
3     1973      minnesota vikings    12–2      bud grant*   fran tarkenton*   
4     1974      minnesota vikings    10–4      bud grant*   fran tarkenton*   
5     1975         dallas cowboys    10–4     tom landry*   roger staubach*   
6     1976      minnesota vikings  11–2–1      bud grant*   fran tarkenton*   
7     1977        dallas cowboys†    12–2     tom landry*   roger staubach*   
8     1978         dallas cowboys    12–4     tom landry*   roger staubach*   
9     1979       los angeles rams     9–7    ray malavasi         pat haden   
10    1980    philadelphia eagles    12–4    dick vermeil      ron jaworski   
11    1981   san francisco 49ers†    13–3     bill walsh*      joe montana*   
12    1982   washington redskins†     8–1      joe gibbs*     joe theismann   
13    1983    washington redskins    14–2      joe gibbs*     joe theismann   
14    1984   san francisco 49ers†    15–1     bill walsh*      joe montana*   
15    1985         chicago bears†    15–1     mike ditka*       jim mcmahon   
16    1986       new york giants†    14–2  bill parcells*        phil simms   
17    1987   washington redskins†    11–4      joe gibbs*     jay schroeder   
18    1988   san francisco 49ers†    10–6     bill walsh*      joe montana*   
19    1989   san francisco 49ers†    14–2  george seifert      joe montana*   
20    1990       new york giants†    13–3  bill parcells*        phil simms   
21    1991   washington redskins†    14–2      joe gibbs*       mark rypien   
22    1992        dallas cowboys†    13–3   jimmy johnson      troy aikman*   
23    1993        dallas cowboys†    12–4   jimmy johnson      troy aikman*   
24    1994   san francisco 49ers†    13–3  george seifert      steve young*   
25    1995        dallas cowboys†    12–4   barry switzer      troy aikman*   
26    1996     green bay packers†    13–3   mike holmgren       brett favre   
27    1997      green bay packers    13–3   mike holmgren       brett favre   
28    1998        atlanta falcons    14–2      dan reeves    chris chandler   
29    1999        st. louis rams†    13–3    dick vermeil       kurt warner   
30    2000        new york giants    12–4      jim fassel     kerry collins   
31    2001         st. louis rams    14–2      mike martz       kurt warner   
32    2002  tampa bay buccaneers†    12–4      jon gruden      brad johnson   
33    2003      carolina panthers    11–5        john fox     jake delhomme   
34    2004    philadelphia eagles    13–3       andy reid    donovan mcnabb   
35    2005       seattle seahawks    13–3   mike holmgren   matt hasselbeck   
36    2006          chicago bears    13–3     lovie smith      rex grossman   
37    2007       new york giants†    10–6    tom coughlin       eli manning   
38    2008      arizona cardinals     9–7  ken whisenhunt       kurt warner   
39    2009    new orleans saints†    13–3     sean payton        drew brees   
40    2010     green bay packers†    10–6   mike mccarthy     aaron rodgers   
41    2011       new york giants†     9–7    tom coughlin       eli manning   
42    2012    san francisco 49ers  11–4–1    jim harbaugh  colin kaepernick   
43    2013      seattle seahawks†    13–3    pete carroll    russell wilson   

        leading_rusher  leading_receiver  \
0         duane thomas        bob hayes*   
1         duane thomas        bob hayes*   
2          larry brown   charley taylor*   
3        chuck foreman      john gilliam   
4        chuck foreman          jim lash   
5      robert newhouse      drew pearson   
6        chuck foreman       sammy white   
7        tony dorsett*      drew pearson   
8        tony dorsett*         tony hill   
9        wendell tyler   preston dennard   
10  wilbert montgomery     charlie smith   
11        ricky patton      dwight clark   
12       john riggins*     charlie brown   
13       john riggins*     charlie brown   
14       wendell tyler      dwight clark   
15      walter payton*      willie gault   
16          joe morris       mark bavaro   
17       george rogers        gary clark   
18         roger craig       jerry rice*   
19         roger craig       jerry rice*   
20      ottis anderson     stephen baker   
21       earnest byner        gary clark   
22       emmitt smith*    michael irvin*   
23       emmitt smith*    michael irvin*   
24       ricky watters       jerry rice*   
25       emmitt smith*    michael irvin*   
26       edgar bennett   antonio freeman   
27       dorsey levens   antonio freeman   
28      jamal anderson       tony martin   
29     marshall faulk*       isaac bruce   
30         tiki barber      amani toomer   
31     marshall faulk*        torry holt   
32     michael pittman  keyshawn johnson   
33       stephen davis       steve smith   
34     brian westbrook     terrell owens   
35     shaun alexander      bobby engram   
36        thomas jones   muhsin muhammad   
37      brandon jacobs   plaxico burress   
38      edgerrin james  larry fitzgerald   
39       pierre thomas   marques colston   
40     brandon jackson     greg jennings   
41      ahmad bradshaw       victor cruz   
42          frank gore  michael crabtree   
43      marshawn lynch       golden tate   

                                             all_pros             runner_up  
0                                              howley   san francisco 49ers  
1                             lilly*, niland, wright*   san francisco 49ers  
2                                   brown, hanburger*        dallas cowboys  
3                                eller*, page*, yary*        dallas cowboys  
4                                        page*, yary*      los angeles rams  
5                                                none      los angeles rams  
6                                               yary*      los angeles rams  
7                    harris, herrera, martin, pearson     minnesota vikings  
8                                      harris, white*      los angeles rams  
9                                 brooks, youngblood*  tampa bay buccaneers  
10                                            johnson        dallas cowboys  
11                                       dean*, lott*        dallas cowboys  
12                                            moseley        dallas cowboys  
13  butz, grimm*, jacoby, murphy, nelms, riggins*,...   san francisco 49ers  
14                                          fahnhorst         chicago bears  
15     covert, dent*, mcmichael, payton*, singletary*      los angeles rams  
16                   bavaro, landeta, morris, taylor*   washington redskins  
17                                     clark, wilburn     minnesota vikings  
18                                       craig, rice*         chicago bears  
19                     cofer, lott*, montana*, rice*,      los angeles rams  
20                                   johnson, landeta   san francisco 49ers  
21                                     green*, lachey         detroit lions  
22                                    novacek, smith*   san francisco 49ers  
23                                   smith*, williams   san francisco 49ers  
24                            rice*, sanders*, young*        dallas cowboys  
25                            newton, smith*, woodson     green bay packers  
26                                      butler, favre     carolina panthers  
27                                      butler, favre   san francisco 49ers  
28                                           anderson     minnesota vikings  
29                       carter, faulk*, pace, warner  tampa bay buccaneers  
30                                               none     minnesota vikings  
31                    faulk*, pace, warner, williams*   philadelphia eagles  
32                               brooks*, rice, sapp*   philadelphia eagles  
33                                            jenkins   philadelphia eagles  
34                           dawkins, owens, sheppard       atlanta falcons  
