************************************************************************************************************************
Sample 114 - Plan 1: Query: how many distributions support the x86 architecture?
Sample 114 - Plan 1: Groundtruth: ['29']
Sample 114 - Plan 1: X-Original table pd: 
                      distribution                  x86     x86_64  \
0                       arch linux         yes (>=i686)        yes   
1                        backtrack                  yes        yes   
2                      bodhi linux                  yes        yes   
3                       boss linux                  yes        yes   
4                           centos                  yes        yes   
5                           chakra                   no        yes   
6                             crux                  yes        yes   
7                           debian                  yes  yes\n4.0+   
8                           fedora                  yes        yes   
9                           finnix                  yes        yes   
10                      frugalware                  yes        yes   
11                          gentoo                  yes        yes   
12                      kali linux                  yes        yes   
13                           mepis                  yes        yes   
14                         mintppc                   no         no   
15                      oes2-linux                  yes        yes   
16                        openelec                  yes        yes   
17                        opensuse                  yes        yes   
18                         openwrt                  yes         no   
19                    oracle linux                  yes        yes   
20                  red flag linux                  yes        yes   
21                   red hat linux                  yes         no   
22        red hat enterprise linux  discontinued\n2.1-6    yes\n3+   
23                   rxart desktop                  yes         no   
24                         porteus                  yes        yes   
25                scientific linux                  yes        yes   
26                             shr                   no         no   
27                       slackware                  yes        yes   
28           source mage gnu/linux                  yes        yes   
29    suse linux enterprise server                  yes        yes   
30                     tor-ramdisk                  yes        yes   
31  ubuntu/kubuntu/xubuntu/lubuntu                  yes        yes   
32                            xbmc                  yes         no   
33                yellow dog linux                   no         no   
34                    distribution                  x86     x86-64   

                              ia64                           ppc  \
0                               no  discontinued unofficial port   
1                               no                            no   
2                               no                            no   
3                               no                           yes   
4   discontinued\n3.5-3.8\n4.1-4.7                     beta\n4.0   
5                               no                            no   
6                               no                           yes   
7            discontinued\n3.0-7.0                     yes\n2.2+   
8      discontinued from\nfedora 9                           yes   
9                               no                           yes   
10                              no                            no   
11                             yes                           yes   
12                              no                            no   
13                              no                            no   
14                              no                           yes   
15                              no                            no   
16                              no                            no   
17                              no                            no   
18                              no                           yes   
19                 discontinued\n5                            no   
20                 discontinued\n3                            no   
21           discontinued\n7.1-7.2             test release\n5.1   
22             discontinued\n2.1-5                       yes\n3+   
23                              no                            no   
24                              no                            no   
25               discontinued\n3-4                            no   
26                              no                            no   
27                              no                            no   
28                              no                           yes   
29                             yes                           yes   
30                              no                            no   
31                              no                           yes   
32                              no                            no   
33                              no                           yes   
34                            ia64                           ppc   

              ppc64                         sparc32  \
0                no                              no   
1                no                              no   
2                no                              no   
3               yes                              no   
4                no                       beta\n4.2   
5                no                              no   
6                no                              no   
7               yes           discontinued on lenny   
8               yes                              no   
9               yes                              no   
10               no                              no   
11              yes                             yes   
12               no                              no   
13               no                              no   
14              yes                              no   
15               no                              no   
16               no                              no   
17               no                              no   
18               no                              no   
19               no                              no   
20  discontinued\n3                              no   
21               no  discontinued\n4.0-4.2\n5.1-6.2   
22          yes\n3+                              no   
23               no                              no   
24               no                              no   
25               no                              no   
26               no                              no   
27               no                 discontinued\n?   
28               no                              no   
29              yes                              no   
30               no                              no   
31               no                              no   
32               no                              no   
33              yes                              no   
34            ppc64                         sparc32   

                                              sparc64              arm  \
0                                                  no  yes\nunofficial   
1                                                  no              yes   
2                                                  no              yes   
3                                                  no                ?   
4                                                  no               no   
5                                                  no                ?   
6                                                  no               no   
7                                                 yes        yes\n2.2+   
8   still active but slow in development, last ava...              yes   
9                                                  no               no   
10                                                 no               no   
11                                                yes              yes   
12                                                 no              yes   
13                                                 no              yes   
14                                                 no               no   
15                                                 no               no   
16                                                 no              yes   
17                                            partial          partial   
18                                                 no              yes   
19                                                 no               no   
20                                                 no               no   
21                                  test release\n5.1               no   
22                                                 no               no   
23                                                 no               no   
24                                                 no               no   
25                                                 no               no   
26                                                 no              yes   
27                                                 no              yes   
28                                                 no               no   
29                                                 no               no   
30                                                 no               no   
31                                                 no              yes   
32                                                 no              yes   
33                                                 no               no   
34                                            sparc64              arm   

                     hppa                      mips           sh  \
0                      no                        no           no   
1                      no                        no           no   
2                      no                        no           no   
3                      no                        no           no   
4                      no                        no           no   
5                      no                        no           no   
6                      no                        no           no   
7   discontinued\n3.0-5.0                 yes\n3.0+  in progress   
8                      no  inactive from\nfedora 13           no   
9                      no                        no           no   
10                     no                        no           no   
11                    yes                       yes          yes   
12                     no                        no           no   
13                     no                        no           no   
14                     no                        no           no   
15                     no                        no           no   
16                     no                        no           no   
17                     no                        no           no   
18                     no                       yes          yes   
19                     no                        no           no   
20                     no                        no           no   
21                     no         test release\n5.1           no   
22                     no                        no           no   
23                     no                        no           no   
24                     no                        no           no   
25                     no                        no           no   
26                     no                        no           no   
27                     no                        no           no   
28                     no                        no           no   
