************************************************************************************************************************
Sample 1321 - Plan 1: Query: who won the title after grizzly boone first won it?
Sample 1321 - Plan 1: Groundtruth: ['Invader I']
Sample 1321 - Plan 1: X-Original table pd: 
             wrestler_  reigns_               date_                 place_  \
0            ron starr      1.0  september 19, 1986     ponce, puerto rico   
1            invader i      1.0    november 5, 1986  san juan, puerto rico   
2   jason the terrible      1.0    january 17, 1987    caguas, puerto rico   
3            invader i      2.0  september 18, 1987  san juan, puerto rico   
4        grizzly boone      1.0    october 24, 1987   bayamon, puerto rico   
..                 ...      ...                 ...                    ...   
61                b.j.      1.0     january 6, 2008  choliseo, puerto rico   
62             hammett      1.0       march 1, 2008  tao baja, puerto rico   
63                b.j.      2.0      march 15, 2008     lares, puerto rico   
64          chris joel      1.0        may 10, 2008   bayamon, puerto rico   
65              vacant      NaN                                              

                                               notes_  
0            defeated invader i in a tournament final  
1                                                      
2                                                      
3                                                      
4                                                      
..                                                ...  
61  wins the title after winning an 11 man battle ...  
62                                                     
63                                                     
64                                                     
65                            chris joel jumps to iwa  

[66 rows x 5 columns]
Sample 1321 - Plan 1: Caption: none
Sample 1321 - Plan 1: Original table: [['wrestler_', 'reigns_', 'date_', 'place_', 'notes_'], ['ron starr', '1', 'september 19, 1986', 'ponce, puerto rico', 'defeated invader i in a tournament final'], ['invader i', '1', 'november 5, 1986', 'san juan, puerto rico', ''], ['jason the terrible', '1', 'january 17, 1987', 'caguas, puerto rico', ''], ['invader i', '2', 'september 18, 1987', 'san juan, puerto rico', ''], ['grizzly boone', '1', 'october 24, 1987', 'bayamon, puerto rico', ''], ['invader i', '3', 'november 25, 1987', 'san juan, puerto rico', 'held up after a match against super black ninja on january 8, 1988 in san juan, pr'], ['super black ninja', '1', 'february 6, 1988', 'guaynabo, puerto rico', ''], ['invader i', '4', 'april 2, 1988', 'bayamon, puerto rico', ''], ['ron starr', '2', 'june 25, 1988', 'carolina, puerto rico', ''], ['carlos colon', '1', 'august 20, 1988', 'bayamon, puerto rico', ''], ['jason the terrible', '2', 'january 28, 1989', 'carolina, puerto rico', ''], ['carlos colon', '2', 'march 1, 1989', 'carolina, puerto rico', 'vacant on may 22, 1989 after colon was injured by steve strong on may 20, 1989'], ['tnt', '1', 'june 17, 1989', 'san juan, puerto rico', 'defeats abudda dein; vacant on february 9, 1990 when tnt wins the wwc universal heavyweight title'], ['leo burke', '1', 'march 24, 1990', 'caguas, puerto rico', 'defeats carlos colon in a tournament final.'], ['tnt', '2', 'april 25, 1990', 'san juan, puerto rico', 'won the vacant title'], ['action jackson (original tnt)', '1', 'january 26, 1991', 'caguas, puerto rico', 'wins tournament; loses a name match on march 2, 1991 in bayamon, pr'], ['tnt', '3', 'march 30, 1991', 'bayamon, puerto rico', ''], ['king kong', '1', 'april 20, 1991', 'bayamon, puerto rico', ''], ['tnt', '4', 'june 1, 1991', 'bayamon, puerto rico', ''], ['fidel sierra', '1', 'october 19, 1991', 'bayamon, puerto rico', ''], ['tnt', '5', 'october 26, 1991', 'carolina, puerto rico', ''], ['dick murdoch', '1', 'november 23, 1991', 'arroyo, puerto rico', ''], ['invader i', '5', 'december 25, 1991', 'san juan, puerto rico', ''], ['dick murdoch', '2', 'january 6, 1992', 'san juan, puerto rico', 'vacant on january 6, 1993 when murdoch leaves the promotion.'], ['carlos colon', '3', 'june 18, 1994', 'san juan, puerto rico', 'defeated mighty koadiak in a tournament final.'], ['mighty koadiak', '1', '1994', '', ''], ['rex king', '1', '1995', '', ''], ['sean morley', '1', '1995', '', ''], ['ricky santana', '1', '1995', '', ''], ['rex king', '2', '1995', '', ''], ['pulgarcito', '1', 'november 11, 1995', '', ''], ['mighty koadiak', '2', 'november 26, 1995', '', ''], ['sweet brown sugar (skip young)', '1', 'january 6, 1996', 'caguas, puerto rico', ''], ['ricky santana', '2', 'march 23, 1996', 'caguas, puerto rico', ''], ['"jungle" jim steele', '1', 'april 20, 1996', 'caguas, puerto rico', ''], ['el bronco i', '1', 'may 18, 1996', 'caguas, puerto rico', ''], ['sean morley', '2', 'may 30, 1996', 'caguas, puerto rico', 'joins the wwf in 1997, but is still recognized as champion; title becomes vacant on march 3, 1999.'], ['glamour boy shane', '1', 'april 2, 1999', 'guaynabo, puerto rico', 'defeated "jungle" jim steele for vacant title.'], ['mustafa saed', '1', 'august 14, 1999', 'caguas, puerto rico', ''], ['glamour boy shane', '2', 'september 19, 1999', 'guaynabo, puerto rico', ''], ['chicky starr', '1', 'november 13, 1999', 'naguabo, puerto rico', ''], ['glamour boy shane', '3', 'january 6, 2000', 'caguas, puerto rico', ''], ['rex king', '3', 'march 19, 2000', 'cabo rojo, puerto rico', ''], ['chris grant', '1', 'april 21, 2001', 'orocovis, puerto rico', ''], ['alex porteau', '1', 'july 7, 2001', 'carolina, puerto rico', ''], ['chris grant', '2', 'july 21, 2001', 'orocovis, puerto rico', 'wins the title by forfeit'], ['bad boy bradley', '1', 'september 8, 2001', 'bayamón, puerto rico', ''], ['super gladiator', '1', 'october 6, 2001', 'caguas, puerto rico', ''], ['ricky santana', '3', 'march 16, 2002', 'aibonito, puerto rico', ''], ['rico suave', '1', 'april 6, 2002', 'caguas, puerto rico', ''], ['ray gonzalez', '1', 'april 27, 2002', 'san lorenzo, puerto rico', ''], ['carlos colon', '4', 'june 8, 2002', 'toa baja, puerto rico', ''], ['ray gonzalez', '2', 'june 15, 2002', 'caguas, puerto rico', 'vacates title on july 1, 2002 when he leaves the company.'], ['wilfredo alejandro', '1', 'july 6, 2002', 'cayey, puerto rico', 'wins a battle royal for the vacant title.'], ['fidel sierra', '2', 'august 24, 2002', 'coamo, puerto rico', ''], ['chris candido', '1', 'june 6, 2003', 'cayey, puerto rico', ''], ['vengador boricua', '1', 'july 19, 2003', 'carolina, puerto rico', 'title becomes inactive when vengador boricua leaves the company.'], ['superstar romeo', '1', 'february 3, 2007', 'caguas, puerto rico', 'romeo beat barabas jr. to win the reactivated title.'], ['rico suave', '2', 'march 17, 2007', 'bayamon, puerto rico', ''], ['crazy rudy', '1', 'april 28, 2007', 'bayamon, puerto rico', ''], ['ash rubinsky', '1', 'november 24, 2007', 'bayamon, puerto rico', 'wins a 7-man battle royal.'], ['b.j.', '1', 'january 6, 2008', 'choliseo, puerto rico', 'wins the title after winning an 11 man battle royal'], ['hammett', '1', 'march 1, 2008', 'tao baja, puerto rico', ''], ['b.j.', '2', 'march 15, 2008', 'lares, puerto rico', ''], ['chris joel', '1', 'may 10, 2008', 'bayamon, puerto rico', ''], ['vacant', '', '', '', 'chris joel jumps to iwa']]
########################################################################################################################
Sample 1321 - Plan 1: Operation 1: Select rows where 'date_' is after the date when grizzly boone first won the title.
Sample 1321 - Plan 1: Selected indices: [[22, 2], [55, 2], [9, 2], [42, 2], [0, 2], [11, 2], [33, 2], [44, 2], [2, 2], [24, 2], [35, 2], [13, 2], [46, 2], [57, 2], [15, 2], [48, 2], [6, 2], [39, 2], [20, 2], [4, 2], [37, 2], [59, 2], [17, 2], [50, 2], [61, 2], [53, 2], [8, 2], [19, 2], [30, 2], [41, 2], [52, 2], [10, 2], [32, 2], [43, 2], [1, 2], [63, 2], [21, 2], [54, 2], [12, 2], [23, 2], [34, 2], [45, 2], [56, 2], [14, 2], [3, 2], [36, 2], [47, 2], [58, 2], [5, 2], [60, 2], [51, 2], [62, 2], [16, 2], [38, 2], [49, 2], [7, 2], [40, 2], [18, 2], [31, 2], [64, 2]]
Sample 1321 - Plan 1: X-Table after operation df:
                         wrestler_  reigns_               date_  \
0                        ron starr      1.0  september 19, 1986   
1                        invader i      1.0    november 5, 1986   
2               jason the terrible      1.0    january 17, 1987   
3                        invader i      2.0  september 18, 1987   
4                    grizzly boone      1.0    october 24, 1987   
5                        invader i      3.0   november 25, 1987   
6                super black ninja      1.0    february 6, 1988   
7                        invader i      4.0       april 2, 1988   
8                        ron starr      2.0       june 25, 1988   
9                     carlos colon      1.0     august 20, 1988   
10              jason the terrible      2.0    january 28, 1989   
11                    carlos colon      2.0       march 1, 1989   
12                             tnt      1.0       june 17, 1989   
13                       leo burke      1.0      march 24, 1990   
14                             tnt      2.0      april 25, 1990   
15   action jackson (original tnt)      1.0    january 26, 1991   
16                             tnt      3.0      march 30, 1991   
17                       king kong      1.0      april 20, 1991   
18                             tnt      4.0        june 1, 1991   
19                    fidel sierra      1.0    october 19, 1991   
20                             tnt      5.0    october 26, 1991   
21                    dick murdoch      1.0   november 23, 1991   
22                       invader i      5.0   december 25, 1991   
23                    dick murdoch      2.0     january 6, 1992   
24                    carlos colon      3.0       june 18, 1994   
25                      pulgarcito      1.0   november 11, 1995   
26                  mighty koadiak      2.0   november 26, 1995   
27  sweet brown sugar (skip young)      1.0     january 6, 1996   
28                   ricky santana      2.0      march 23, 1996   
29             "jungle" jim steele      1.0      april 20, 1996   
30                     el bronco i      1.0        may 18, 1996   
31                     sean morley      2.0        may 30, 1996   
32               glamour boy shane      1.0       april 2, 1999   
33                    mustafa saed      1.0     august 14, 1999   
34               glamour boy shane      2.0  september 19, 1999   
35                    chicky starr      1.0   november 13, 1999   
36               glamour boy shane      3.0     january 6, 2000   
37                        rex king      3.0      march 19, 2000   
38                     chris grant      1.0      april 21, 2001   
39                    alex porteau      1.0        july 7, 2001   
40                     chris grant      2.0       july 21, 2001   
41                 bad boy bradley      1.0   september 8, 2001   
42                 super gladiator      1.0     october 6, 2001   
43                   ricky santana      3.0      march 16, 2002   
44                      rico suave      1.0       april 6, 2002   
45                    ray gonzalez      1.0      april 27, 2002   
46                    carlos colon      4.0        june 8, 2002   
47                    ray gonzalez      2.0       june 15, 2002   
48              wilfredo alejandro      1.0        july 6, 2002   
49                    fidel sierra      2.0     august 24, 2002   
50                   chris candido      1.0        june 6, 2003   
51                vengador boricua      1.0       july 19, 2003   
52                 superstar romeo      1.0    february 3, 2007   
53                      rico suave      2.0      march 17, 2007   
54                      crazy rudy      1.0      april 28, 2007   
55                    ash rubinsky      1.0   november 24, 2007   
56                            b.j.      1.0     january 6, 2008   
57                         hammett      1.0       march 1, 2008   
58                            b.j.      2.0      march 15, 2008   
59                      chris joel      1.0        may 10, 2008   

                      place_  \
0         ponce, puerto rico   
1      san juan, puerto rico   
2        caguas, puerto rico   
3      san juan, puerto rico   
4       bayamon, puerto rico   
5      san juan, puerto rico   
6      guaynabo, puerto rico   
7       bayamon, puerto rico   
8      carolina, puerto rico   
9       bayamon, puerto rico   
10     carolina, puerto rico   
11     carolina, puerto rico   
12     san juan, puerto rico   
13       caguas, puerto rico   
14     san juan, puerto rico   
15       caguas, puerto rico   
16      bayamon, puerto rico   
17      bayamon, puerto rico   
18      bayamon, puerto rico   
19      bayamon, puerto rico   
20     carolina, puerto rico   
21       arroyo, puerto rico   
22     san juan, puerto rico   
23     san juan, puerto rico   
24     san juan, puerto rico   
25                             
26                             
27       caguas, puerto rico   
28       caguas, puerto rico   
29       caguas, puerto rico   
30       caguas, puerto rico   
31       caguas, puerto rico   
32     guaynabo, puerto rico   
33       caguas, puerto rico   
34     guaynabo, puerto rico   
35      naguabo, puerto rico   
36       caguas, puerto rico   
37    cabo rojo, puerto rico   
38     orocovis, puerto rico   
39     carolina, puerto rico   
40     orocovis, puerto rico   
41      bayamón, puerto rico   
42       caguas, puerto rico   
43     aibonito, puerto rico   
44       caguas, puerto rico   
45  san lorenzo, puerto rico   
46     toa baja, puerto rico   
47       caguas, puerto rico   
48        cayey, puerto rico   
49        coamo, puerto rico   
50        cayey, puerto rico   
51     carolina, puerto rico   
52       caguas, puerto rico   
53      bayamon, puerto rico   
54      bayamon, puerto rico   
55      bayamon, puerto rico   
56     choliseo, puerto rico   
57     tao baja, puerto rico   
58        lares, puerto rico   
59      bayamon, puerto rico   

                                               notes_  
0            defeated invader i in a tournament final  
1                                                      
2                                                      
3                                                      
4                                                      
5   held up after a match against super black ninj...  
6                                                      
7                                                      
8                                                      
9                                                      
10                                                     
11  vacant on may 22, 1989 after colon was injured...  
12  defeats abudda dein; vacant on february 9, 199...  
13        defeats carlos colon in a tournament final.  
14                               won the vacant title  
15  wins tournament; loses a name match on march 2...  
16                                                     
17                                                     
18                                                     
19                                                     
20                                                     
21                                                     
22                                                     
23  vacant on january 6, 1993 when murdoch leaves ...  
24     defeated mighty koadiak in a tournament final.  
25                                                     
26                                                     
27                                                     
28                                                     
29                                                     
30                                                     
31  joins the wwf in 1997, but is still recognized...  
32     defeated "jungle" jim steele for vacant title.  
33                                                     
34                                                     
35                                                     
36                                                     
37                                                     
38                                                     
39                                                     
40                          wins the title by forfeit  
41                                                     
42                                                     
43                                                     
44                                                     
45                                                     
46                                                     
47  vacates title on july 1, 2002 when he leaves t...  
48          wins a battle royal for the vacant title.  
49                                                     
50                                                     
51  title becomes inactive when vengador boricua l...  
52  romeo beat barabas jr. to win the reactivated ...  
53                                                     
54                                                     
55                         wins a 7-man battle royal.  
56  wins the title after winning an 11 man battle ...  
57                                                     
58                                                     
59                                                     
