************************************************************************************************************************
Sample 759 - Plan 1: Query: most district names are the same as their ...?
Sample 759 - Plan 1: Groundtruth: ['Headquarters']
Sample 759 - Plan 1: X-Original table pd: 
             no             name code          formed   headquarters  \
0             1       ahmednagar   ah      1 may 1960     ahmednagar   
1             2            akola   ak      1 may 1960          akola   
2             3         amravati   am      1 may 1960       amravati   
3             4       aurangabad   au      1 may 1960     aurangabad   
4             5             beed   bi      1 may 1960           beed   
5             6         bhandara   bh      1 may 1960       bhandara   
6             7         buldhana   bu      1 may 1960       buldhana   
7             8       chandrapur   ch      1 may 1960     chandrapur   
8             9            dhule   dh      1 may 1960          dhule   
9            10       gadchiroli   ga  26 august 1982     gadchiroli   
10           11           gondia   go      1 may 1999         gondia   
11           12          hingoli   hi      1 may 1999        hingoli   
12           13          jalgaon   jg      1 may 1960        jalgaon   
13           14            jalna   jn      1 may 1981          jalna   
14           15         kolhapur   ko      1 may 1960       kolhapur   
15           16            latur   la  15 august 1982          latur   
16           17      mumbai city   mc      1 may 1960         mumbai   
17           18  mumbai suburban   mu  1 october 1990  bandra (east)   
18           19           nagpur   ng      1 may 1960         nagpur   
19           20           nanded   nd      1 may 1960         nanded   
20           21        nandurbar   nb     1 july 1998      nandurbar   
21           22           nashik   ns      1 may 1960         nashik   
22           23        osmanabad   os      1 may 1960      osmanabad   
23           24         parbhani   pa      1 may 1960       parbhani   
24           25             pune   pu      1 may 1960           pune   
25           26           raigad   rg      1 may 1960         alibag   
26           27        ratnagiri   rt      1 may 1960      ratnagiri   
27           28           sangli   sn      1 may 1960         sangli   
28           29           satara   st      1 may 1960         satara   
29           30       sindhudurg   si      1 may 1981           oros   
30           31          solapur   so      1 may 1960          daund   
31           32            thane   th      1 may 1960          thane   
32           33           wardha   wr      1 may 1960         wardha   
33           34           washim   ws     1 july 1998         washim   
34           35         yavatmal   ya      1 may 1960       yavatmal   
35  maharashtra                -    -               -              -   

   administrative_ndivision area__km2_ population_n_2001_census_  \
0                    nashik     17,413                 4,088,077   
1                  amravati      5,417                 1,818,617   
2                  amravati     12,626                 2,606,063   
3                aurangabad     10,100                 2,897,013   
4                aurangabad     10,439                 2,161,250   
5                    nagpur      3,717                 1,135,835   
6                  amravati      9,680                 2,232,480   
7                    nagpur     10,695                 2,071,101   
8                    nashik      8,063                 1,707,947   
9                    nagpur     14,412                   970,294   
10                   nagpur      4,843                 1,200,151   
11               aurangabad      4,526                   987,160   
12                   nashik     11,765                 3,679,936   
13               aurangabad      7,612                 1,612,357   
14                     pune      7,685                 3,515,413   
15               aurangabad      7,372                 2,080,285   
16                   konkan       67.7                 3,326,837   
17                   konkan        369                 8,587,000   
18                   nagpur      9,897                 4,051,444   
19               aurangabad     10,422                 2,876,259   
20                   nashik      5,035                 1,309,135   
21                   nashik     15,530                 4,993,796   
22               aurangabad      7,512                 1,486,586   
23               aurangabad      6,251                 1,527,715   
24                     pune     15,642                 7,224,224   
25                   konkan      7,148                 2,207,929   
26                   konkan      8,208                 1,696,777   
27                     pune      8,578                 2,583,524   
28                     pune     10,484                 2,796,906   
29                   konkan      5,207                   868,825   
30                     pune     14,845                 3,849,543   
31                   konkan      9,558                 8,131,849   
32                   nagpur      6,310                 1,230,640   
33                 amravati      5,150                 1,020,216   
34                 amravati     13,582                 2,077,144   
35                        -    307,713                96,878,627   

   __of_state_npopulation density_n_per_km2_  urban____  literacy____  \
0                   4.22%             234.77      19.67         75.82   
1                   1.68%             300.78      38.49         81.41   
2                   2.69%             206.40      34.50         82.50   
3                   2.99%             286.83      37.53         61.15   
4                   2.23%             207.04      17.91         68.00   
5                   1.17%             305.58      15.44         68.28   
6                    2.3%             230.63      21.20         75.80   
7                   2.14%             193.65      32.11         73.03   
8                   1.76%             211.83      26.11         71.60   
9                      1%              67.33       6.93         60.10   
10                  1.24%             247.81      11.95         67.67   
11                  1.02%             218.11      15.20         66.86   
12                   3.8%             312.79      71.40         76.06   
13                  1.66%             211.82      19.09         64.52   
14                  3.63%             457.44      29.65         77.23   
15                  2.15%             282.19      23.57         71.54   
16                  3.43%           49,140.9     100.00         86.40   
17                  8.86%             23,271     100.00         86.90   
18                  4.18%             409.36      64.33         84.18   
19                  2.97%             275.98      28.29         68.52   
20                  1.35%                260      15.50         46.63   
21                  5.15%             321.56      38.80         74.40   
22                  1.53%             197.89      15.70         54.27   
23                  1.58%              244.4      31.80         55.15   
24                  7.46%             461.85      58.10         80.78   
25                  2.28%             308.89      24.20         77.00   
26                  1.75%             206.72      11.30         65.13   
27                  2.67%             301.18      24.50         62.41   
28                  2.89%             266.77      14.20         78.52   
29                   0.9%             166.86       9.50         80.30   
30                  3.97%             259.32      31.80         71.20   
31                  8.39%             850.71      72.58         80.67   
32                  1.27%             195.03      25.17         80.50   
33                  1.05%             275.98      17.49         74.02   
34                  2.14%             152.93      18.60         57.96   
35                      -             314.42      42.43         77.27   

   sex_ratio tehsils            source  
0        941      14  district website  
1        938       7  district website  
2        938      14  district website  
3        924       9  district website  
4        936      11  district website  
5        982       7  district website  
6        946      13  district website  
7        948      15  district website  
8        944       4  district website  
9        976      12  district website  
10      1005       8  district website  
11       953       5  district website  
12       932      15  district website  
13       952       8  district website  
14       949      10  district website  
15       935      10  district website  
16       777       0  district website  
17       822       3  district website  
18       933      13  district website  
19       942      16  district website  
20       975       6  district website  
21       927      15  district website  
22       932       8  district website  
23       958       9  district website  
24       919      14  district website  
25       976      15  district website  
26     1,136       9  district website  
27       957      10  district website  
28       995      11  district website  
29     1,079       8  district website  
30       935      11  district website  
31       858      15  district website  
32       936       8  district website  
33       939       6  district website  
34       951      16  district website  
35       922       -                 -  
Sample 759 - Plan 1: Caption: none
